family,lead,target,tf,L,H,direction,thr_name,n,mean_net,t,p,q,ic_L1H1,robust
F2,ADA-USD,XRP-USD,4h,3,3,cont,p80,208,0.00021631,0.078971,0.46857,1,0.0083612,False
F2,ATOM-USD,ADA-USD,1d,1,1,rev,p70,209,0.0054179,1.3749,0.085319,1,-0.074758,True
F2,ATOM-USD,ADA-USD,1h,3,3,rev,p70,1273,-0.0027358,-3.6291,0.99985,1,-0.018922,False
F2,ATOM-USD,ADA-USD,4h,3,3,rev,p80,208,-0.0038169,-1.3212,0.90605,1,-0.002046,False
F2,ATOM-USD,AVAX-USD,1d,3,3,rev,p80,72,0.013582,1.0824,0.14137,1,-0.068976,True
F2,ATOM-USD,AVAX-USD,1h,3,3,rev,p80,865,-0.0031475,-4.3849,0.99999,1,-0.0063693,False
F2,ATOM-USD,AVAX-USD,4h,3,3,rev,p80,208,-0.0043642,-1.5667,0.94065,1,-0.012406,False
F2,ATOM-USD,BCH-USD,1d,1,1,rev,p70,220,0.0075977,1.6197,0.053372,1,-0.062995,False
F2,ATOM-USD,BCH-USD,1h,3,3,rev,p80,865,-0.0030024,-4.492,1,1,-0.0030342,False
F2,ATOM-USD,BCH-USD,4h,3,3,rev,p80,208,-0.0020192,-0.76965,0.77881,1,-0.0050048,False
F2,ATOM-USD,BTC-USD,1d,3,1,rev,p80,135,0.0032396,0.84406,0.20007,1,-0.06673,False
F2,ATOM-USD,BTC-USD,1h,1,1,cont,0,7802,-0.0039882,-71.944,1,1,-0.0015876,False
F2,ATOM-USD,BTC-USD,4h,3,3,rev,p80,208,-0.004103,-2.913,0.99801,1,0.0030538,False
F2,ATOM-USD,DOGE-USD,1d,1,1,rev,p70,200,0.0030854,0.72615,0.2343,1,-0.056665,False
F2,ATOM-USD,DOGE-USD,1h,3,3,rev,p80,865,-0.0027759,-3.7449,0.99994,1,0.0030692,False
F2,ATOM-USD,DOGE-USD,4h,3,3,cont,p80,216,0.00061064,0.21714,0.41483,1,-0.0035422,False
F2,ATOM-USD,DOT-USD,1d,1,1,rev,p70,197,0.0027018,0.69678,0.24338,1,-0.040281,False
F2,ATOM-USD,DOT-USD,1h,3,3,rev,p80,865,-0.0033418,-4.7131,1,1,0.00052001,False
F2,ATOM-USD,DOT-USD,4h,3,3,cont,p80,216,-0.0014968,-0.55823,0.71137,1,-0.010913,False
F2,ATOM-USD,ETH-USD,1d,1,1,rev,p70,220,0.0066241,1.805,0.036226,1,-0.06048,True
F2,ATOM-USD,ETH-USD,1h,1,1,cont,0,7802,-0.0038878,-48.35,1,1,0.015051,False
F2,ATOM-USD,ETH-USD,4h,3,3,cont,p80,216,-0.0024741,-1.359,0.91221,1,0.016627,False
F2,ATOM-USD,LINK-USD,1d,2,1,rev,p80,143,0.010707,1.6906,0.046549,1,-0.070337,False
F2,ATOM-USD,LINK-USD,1h,3,3,rev,p80,865,-0.0029403,-3.9614,0.99996,1,-0.0074375,False
F2,ATOM-USD,LINK-USD,4h,3,3,cont,p70,310,-0.0020795,-0.99645,0.84009,1,-0.0089886,False
F2,ATOM-USD,LTC-USD,1d,1,1,rev,p70,220,0.0052228,1.4172,0.078919,1,-0.066062,False
F2,ATOM-USD,LTC-USD,1h,3,3,rev,p80,865,-0.0032152,-4.6491,1,1,-0.0083065,False
F2,ATOM-USD,LTC-USD,4h,3,3,cont,p80,216,-0.0014958,-0.7135,0.76339,1,-0.0079583,False
F2,ATOM-USD,SHIB-USD,1d,3,3,cont,p70,92,0.018378,1.2102,0.11467,1,-0.041248,True
F2,ATOM-USD,SHIB-USD,1h,3,3,rev,p80,865,-0.0030282,-4.4692,1,1,-0.0038016,False
F2,ATOM-USD,SHIB-USD,4h,3,3,rev,p80,208,-0.0030028,-1.2251,0.88903,1,-0.010342,False
F2,ATOM-USD,SOL-USD,1d,3,3,cont,0,268,0.0091778,1.5562,0.060424,1,-0.045111,False
F2,ATOM-USD,SOL-USD,1h,3,3,rev,p80,865,-0.0027135,-4.4158,0.99999,1,-0.012911,False
F2,ATOM-USD,SOL-USD,4h,3,3,cont,p80,216,-0.0024275,-1.1788,0.88373,1,0.012116,False
F2,ATOM-USD,UNI-USD,1d,1,1,rev,p70,220,0.0086007,1.715,0.043877,1,-0.046912,True
F2,ATOM-USD,UNI-USD,1h,3,3,cont,p80,885,-0.0035833,-4.8828,1,1,-0.00046522,False
F2,ATOM-USD,UNI-USD,4h,3,3,cont,p80,216,-0.0013865,-0.47077,0.68086,1,-0.0051599,False
F2,ATOM-USD,XLM-USD,1d,2,1,rev,p80,143,0.008586,1.6754,0.048032,1,-0.016362,False
F2,ATOM-USD,XLM-USD,1h,3,3,rev,p80,865,-0.002344,-2.9863,0.99923,1,-0.019607,False
F2,ATOM-USD,XLM-USD,4h,3,3,rev,p80,208,0.00083555,0.2788,0.39262,1,-0.018144,False
F2,ATOM-USD,XRP-USD,1d,1,1,cont,p70,85,0.0091905,1.2536,0.10674,1,0.063837,True
F2,ATOM-USD,XRP-USD,1h,3,3,rev,p80,865,-0.0024546,-3.3504,0.99958,1,-0.030547,False
F2,ATOM-USD,XRP-USD,4h,3,3,rev,p80,208,0.00098148,0.32811,0.37466,1,-0.036823,False
F2,AVAX-USD,ADA-USD,1d,3,3,cont,p70,96,0.0034239,0.40775,0.34219,1,-0.032855,False
F2,AVAX-USD,ADA-USD,1h,3,3,rev,p70,1253,-0.0030626,-4.0182,0.99997,1,-0.019035,False
F2,AVAX-USD,ADA-USD,4h,3,3,rev,p80,213,-0.0040519,-1.376,0.91487,1,0.01905,False
F2,AVAX-USD,ATOM-USD,1d,2,2,cont,p80,89,0.0021775,0.32363,0.37349,1,0.0031373,False
F2,AVAX-USD,ATOM-USD,1h,1,1,cont,0,7599,-0.0040544,-41.896,1,1,-0.0058055,False
F2,AVAX-USD,ATOM-USD,4h,3,3,rev,p80,213,-0.0048932,-1.7145,0.95605,1,0.016337,False
F2,AVAX-USD,BCH-USD,1d,3,3,rev,0,249,0.00133,0.29455,0.38429,1,-0.0067092,False
F2,AVAX-USD,BCH-USD,1h,1,1,cont,0,7599,-0.0039358,-40.318,1,1,0.0037444,False
F2,AVAX-USD,BCH-USD,4h,3,3,rev,p70,312,-0.0016615,-0.80866,0.79033,1,0.0028014,False
F2,AVAX-USD,BTC-USD,1d,3,3,rev,0,249,0.0012998,0.39598,0.34623,1,-0.028669,False
F2,AVAX-USD,BTC-USD,1h,1,1,cont,0,7599,-0.0039722,-70.511,1,1,-0.0056453,False
F2,AVAX-USD,BTC-USD,4h,3,3,rev,p80,213,-0.0036754,-2.5807,0.99473,1,0.0093833,False
F2,AVAX-USD,DOGE-USD,1d,2,2,cont,p70,126,0.012587,1.6435,0.051395,1,-0.027891,True
F2,AVAX-USD,DOGE-USD,1h,1,1,cont,0,7599,-0.0038926,-34.43,1,1,-0.0065229,False
F2,AVAX-USD,DOGE-USD,4h,3,3,cont,p80,211,-0.0029264,-0.90992,0.81805,1,0.0093854,False
